name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
aallam/openai-kotlin,,https://github.com/aallam/openai-kotlin,logos/b2c5f40cfd628f401ac6af944277a8b00038869f62d8fb1b86258549459497b4.svg,,,,,,,,,OpenAI API client for Kotlin with multiplatform and coroutines capabilities.,,,,,,,,,,,,Application Engineering,Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
AbdBarho/stable-diffusion-webui-docker,,https://github.com/AbdBarho/stable-diffusion-webui-docker,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,Easy Docker setup for Stable Diffusion with user-friendly UI,,,,,,,,,,,,Application Engineering,UserInterface,,,,,,,,,,,,,,,,,,,,,,,,
abi/screenshot-to-code,,https://github.com/abi/screenshot-to-code,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,Drop in a screenshot and convert it to clean code (HTML/Tailwind/React/Vue),,,,,,,,,,,,Application Engineering,UserInterface,,,,,,,,,,,,,,,,,,,,,,,,
activepieces/activepieces,,https://github.com/activepieces/activepieces,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,Your friendliest open source AI automation tool ✨ Workflow automation tool 200+ integration / Enterprise automation tool / Zapier Alternative,,,,,,,,,,,,Application Engineering,Agentic Framework,,,,,,,,,,,,,,,,,,,,,,,,
ajndkr/lanarky,,https://github.com/ajndkr/lanarky,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,The web framework for building LLM microservices,,,,,,,,,,,,Application Engineering,Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
all-in-aigc/sorafm,,https://github.com/all-in-aigc/sorafm,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,Sora AI Video Generator by Sora.FM,,,,,,,,,,,,Application Engineering,UserInterface,,,,,,,,,,,,,,,,,,,,,,,,
allenai/RL4LMs,,https://github.com/allenai/RL4LMs,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,A modular RL library to fine-tune language models to human preferences,,,,,,,,,,,,Models,Fine tuning,,,,,,,,,,,,,,,,,,,,,,,,
anse-app/chatgpt-demo,,https://github.com/anse-app/chatgpt-demo,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,Minimal web UI for ChatGPT. ,,,,,,,,,,,,Application Engineering,UserInterface,,,,,,,,,,,,,,,,,,,,,,,,
axflow/axflow,,https://axflow.dev,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,The TypeScript framework for AI development,,,,,,,,,,,,Application Engineering,Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
Azure/PyRIT,,https://github.com/Azure/PyRIT,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,The Python Risk Identification Tool for generative AI (PyRIT) is an open access automation framework to empower security professionals and machine learning engineers to proactively find risks in their generative AI systems.,,,,,,,,,,,,Application Engineering,Evals,,,,,,,,,,,,,,,,,,,,,,,,
